kode,nama
9401011001,Wonorejo
9401011002,Kali Bobo
9401011003,Morgo
9401011004,Girimulyo
9401011005,Karang Tumaritis
9401011006,Oyehe
9401011007,Karang Mulia
9401011008,Nabarua
9401011009,Siriwini
9401012010,Kalisusu
9401012011,Kali Harapan
9401012012,Sanoba
9401022001,Napan
9401022002,Masipawa
9401022003,Weinami
9401032001,Yaur
9401032002,Akudiomi
9401032003,Sima
9401032004,Wami
9401042001,Topo
9401042002,Urumusu
9401042003,Marga Jaya
9401042004,Argo Mulyo
9401042005,Topo Jaya
9401042006,Gamei Jaya
9401052001,Bumi Mulia
9401052002,Karadiri
9401052003,Wanggar Makmur
9401062001,Unipo
9401062002,Aibore
9401062003,Epomani
9401062004,Tibai
9401062005,Mabou
9401062006,Ugida
9401072001,Makimi
9401072002,Nifasi
9401072003,Biha
9401072004,Lagari Jaya
9401072005,Maidei
9401072006,Manunggal Jaya
9401082001,Napan Yaur
9401082002,Yeretuar
9401082003,Bawei
9401082004,Goni
9401092001,Samabusa
9401092002,Waharia
9401092003,Kimi
9401092004,Lani
9401092005,Air Mandidi
9401102001,Wanggar Sari
9401102002,Wiraska
9401102003,Yaro Makmur
9401102004,Jaya Mukti
9401102005,Wanggar Pantai
9401102006,Ororodo
9401102007,Bomopai
9401102008,Parauto
9401112001,Totoberi
9401112002,Samanui
9401112003,Kamarisano
9401112004,Taumi
9401112005,Keuw
9401122001,Bumi Raya
9401122002,Waroki
9401122003,Gerbang Sadu
9401122004,Kali Semen
9401122005,Wadio
9401132001,Mambor
9401132002,Hariti
9401132003,Moor
9401132004,Kama
9401132005,Arui
9401142001,Epouwa
9401142002,Dikiya
9401142003,Tagauto
9401142004,Jigikebo
9401142005,Jainoa
9401152001,Kunupi
9401152002,Ogiyai
9401152003,Lokodimi
9401152004,Yegeugi
9402011010,Wuyukwi
9402011011,Pagaleme
9402012001,Pruleme
9402012002,Wuyukwi
9402012003,Wuyuneri
9402012004,Pepera
9402012005,Muliagambut
9402012006,Trikora
9402012007,Towogi
9402012008,Birak Ambut
9402012009,Usir
9402021021,Wurak
9402022001,Wurak
9402022002,Lambo
9402022003,Pindebaga
9402022004,Dolinggame
9402022005,Belantara
9402022006,Kalengga
9402022007,Pulau Timur
9402022008,Girmor
9402022009,Maka
9402022010,Mobigi
9402022011,Jauria I
9402022012,Gubulome
9402022013,Megawi Megewa
9402022014,Kurikpulok
9402022015,Puky paky
9402022016,Kaninonggo
9402022017,Kirigimaduk
9402022018,Pologengga
9402022019,Ginipago
9402022020,Aulukme
9402032001,Fawi
9402032002,Bakusi
9402032003,Turumo
9402032004,Kaho
9402032005,Biricare
9402032006,Dorey
9402032007,Fii
9402032008,Evo
9402032009,Yerei
9402042001,Mewoluk
9402042002,Gumbru
9402042003,Anggulobaga
9402042004,Balinggup
9402042005,Waliba
9402042006,Nggininik
9402042007,Biak
9402042008,Wutikme
9402052001,Yambuni
9402052002,Yogolawi
9402052003,Wundu
9402052004,Binime
9402052005,Tiogeme
9402052006,Goyage
9402052007,Kalimbut
9402052008,Wolame
9402052009,Muara
