kode,nama
950101,Wamena
950102,Kurulu
950103,Asologaima
950104,Hubikosi
950105,Bolakme
950106,Walelagama
950107,Musatfak
950108,Wolo
950109,Asolokobal
950110,Pelebaga
950111,Yalengga
950112,Trikora
950113,Napua
950114,Walaik
950115,Wouma
950116,Hubikiak
950117,Ibele
950118,Taelarek
950119,Itlay Hisage
950120,Siepkosi
950121,Usilimo
950122,Wita Waya
950123,Libarek
950124,Wadangku
950125,Pisugi
950126,Koragi
950127,Tagime
950128,Molagalome
950129,Tagineri
950130,Silo Karno Doga
950131,Piramid
950132,Muliama
950133,Bugi
950134,Bpiri
950135,Welesi
950136,Asotipo
950137,Maima
950138,Popugoba
950139,Wame
950140,Wesaput
950201,Oksibil
950202,Kiwirok
950203,Okbibab
950204,Iwur
950205,Batom
950206,Borme
950207,Kiwirok Timur
950208,Aboy
950209,Pepera
950210,Bime
950211,Alemsom
950212,Okbape
950213,Kalomdol
950214,Oksop
950215,Serambakon
950216,Ok Aom
950217,Kawor
950218,Awinbon
950219,Tarup
950220,Okhika
950221,Oksamol
950222,Oklip
950223,Okbemtau
950224,Oksebang
950225,Okbab
950226,Batani
950227,Weime
950228,Murkim
950229,Mofinop
950230,Jetfa
950231,Teiraplu
950232,Eipumek
950233,Pamek
950234,Nongme
950301,Kurima
950302,Anggruk
950303,Ninia
950304,Silimo
950305,Samenage
950306,Nalca
950307,Dekai
950308,Obio
950309,Suru Suru
950310,Wusama
950311,Amuma
950312,Musaik
950313,Pasema
950314,Hogio
950315,Mugi
950316,Soba
950317,Werima
950318,Tangma
950319,Ukha
950320,Panggema
950321,Kosarek
950322,Nipsan
950323,Ubahak
950324,Pronggoli
950325,Walma
950326,Yahuliambut
950327,Hereapini
950328,Ubalihi
950329,Talambo
950330,Puldama
950331,Endomen
950332,Kona
950333,Dirwemna
950334,Holuwon
950335,Lolat
950336,Soloikma
950337,Sela
950338,Korupun
950339,Langda
950340,Bomela
950341,Suntamon
950342,Seradala
950343,Sobaham
950344,Kabianggama
950345,Kwelamdua
950346,Kwikma
950347,Hilipuk
950348,Duram
950349,Yogosem
950350,Kayo
950351,Sumo
950401,Karubaga
950402,Bokondini
950403,Kanggime
950404,Kembu
950405,Goyage
950406,Wunim
950407,Wina
950408,Umagi
950409,Panaga
950410,Woniki
950411,Kubu
950412,Konda/Kondaga
950413,Nelawi
950414,Kuari
950415,Bokoneri
950416,Bewani
950417,Nabunage
950418,Gilubandu
950419,Nunggawi
950420,Gundagi
950421,Numba
950422,Timori
950423,Dundu
950424,Geya
950425,Egiam
950426,Poganeri
950427,Kamboneri
950428,Airgaram
950429,Wari/Taiyeve II
950430,Dow
950431,Tagineri
950432,Yuneri
950433,Wakuwo
950434,Gika
950435,Telenggeme
950436,Anawi
950437,Wenam
950438,Wugi
950439,Danime
950440,Tagime
950441,Kai
950442,Aweku
950443,Bogonuk
950444,Li Anogomma
950445,Biuk
950446,Yuko
950501,Kobakma
950502,Kelila
950503,Eragayam
950504,Megambilis
950505,Ilugwa
950601,Elelim
950602,Apalapsili
950603,Abenaho
950604,Benawa
950605,Welarek
950701,Tiom
950702,Pirime
950703,Makki
950704,Gamelia
950705,Dimba
950706,Melagineri
950707,Balingga
950708,Tiomneri
950709,Kuyawage
950710,Poga
950711,Niname
950712,Nogi
950713,Yiginua
950714,Tiom Ollo
950715,Yugungwi
950716,Mokoni
950717,Wereka
950718,Milimbo
950719,Wiringgambut
950720,Gollo
950721,Awina
950722,Ayumnati
950723,Wano Barat
950724,Goa Balim
950725,Bruwa
950726,Balingga Barat
950727,Gupura
950728,Kolawa
950729,Gelok Beam
950730,Kuly Lanny
950731,Lannyna
950732,Karu
950733,Yiluk
950734,Guna
950735,Kelulome
950736,Nikogwe
950737,Muara
950738,Buguk Gona
950739,Melagi
950801,Kenyam
950802,Mapenduma
950803,Yigi
950804,Wosak
950805,Geselma
950806,Mugi
950807,Mbuwa
950808,Gearek
950809,Koroptak
950810,Kegayem
950811,Paro
950812,Mebarok
950813,Yenggelo
950814,Kilmid
950815,Alama
950816,Yal
950817,Mam
950818,Dal
950819,Nirkuri
950820,Inikgal
950821,Iniye
950822,Mbulmu Yalma
950823,Mbua Tengah
950824,Embetpen
950825,Kora
950826,Wusi
950827,Pija
950828,Moba
950829,Wutpaga
950830,Nenggeagin
950831,Krepkuri
950832,Pasir Putih
